Comp;2009 spring;2009 summer;2009 autumn;2010 winter;2010 spring;2010 summer;2010 autumn;2011 winter
Cil;0,333703085;0,734393952;0,417429357;0,157918672;0,283345607;0,792701079;0,394898886;0,146945668
Nsci;0,229568409;0,537093751;0,29219672;0,10251433;0,192467916;0,583181681;0,27523859;0,094859779
Cop;0,067226843;0,119520828;0,076543104;0,034569692;0,056291;0,120072706;0,055324574;0,030402926
Clado;0,092359384;0,216082206;0,117555849;;0,077433208;0,234624186;;
Tun;0,115355081;0,229430078;0,140211868;0,060089911;0,100025023;0,245229841;0,13359174;0,056433631
Poly;;;;;;;;
Biv;0,023488901;0,047553961;0,028694521;0,012031346;0,020292502;0,050916257;0,027305583;0,011280977
Gastr;0,06026659;0,153357709;0,07855904;0,024850626;0,049654103;0,167878011;0,073563654;0,022819347
Hydro;0,048913143;0,108112598;0,06145212;;0,041649273;0,116620324;0,058138857;0,021538831
Mlei;0,060685751;0,177512915;0,08229634;0,021925507;0,0485753;0,196960626;0,076311666;0,019878818
Ppil;0,062289716;0,142285862;0,078746289;0,028454186;0,052482902;0,154137718;0,07430108;0,026387154
Bcu;0,033743868;0,080456376;0,043181042;0,014800058;0,028179598;0,087520774;0,040620789;0,013671298
Her;0,015491073;0,033549698;0,019289833;0,007443171;0,013197191;0,03615719;0,018269266;0,006936125
