year;month;frac_PHAE;frac_DIA
2009;3;0,209674725;0,790325275
2009;4;0,130816795;0,869183205
2009;5;0,687358754;0,312641246
2009;6;0;1
2009;7;0,001622248;0,998377752
2009;8;0,002730748;0,997269252
2009;9;0,016429105;0,983570895
2009;10;0,001894784;0,998105216
2009;11;0;1
2009;12;0;1
2010;1;;
2010;2;;
2010;3;0;1
2010;4;0;1
2010;5;0,266260431;0,733739569
2010;6;0,033633248;0,966366752
2010;7;0,117311604;0,882688396
2010;8;0,498097729;0,501902271
2010;9;0,035582324;0,964417676
2010;10;0,481658406;0,518341594
2010;11;0;1
2010;12;0;1
2011;1;0;1
2011;2;0;1
