Event;date/time;Water depth;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.
List Reede;08.01.2013;15,25;7;10;4;0;55;0;0;151;2;0;0;0;0;0;0;0;0;0
List Reede;14.01.2013;15,25;4;0;3;0;26;0;0;42;0;0;0;0;0;0;0;0;0;0
List Reede;21.01.2013;15,25;0;0;0;0;15;0;0;27;0;0;0;0;2;0;0;0;0;0
List Reede;31.01.2013;15,25;6;1;2;0;18;0;0;15;0;0;0;0;0;0;0;0;0;0
List Reede;04.02.2013;15,25;0;2;5;0;12;0;2;8;0;0;0;0;0;0;0;0;0;0
List Reede;11.02.2013;15,25;0;1;3;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0
List Reede;20.02.2013;15,25;0;0;10;0;1;0;25;3;0;0;0;0;7;0;0;0;0;0
List Reede;25.02.2013;15,25;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
List Reede;04.03.2013;15,25;1;1;21;0;0;0;22;10;0;0;0;0;12;0;0;0;0;0
List Reede;11.03.2013;15,25;0;0;2;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0
List Reede;28.03.2013;15,25;0;0;1;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0
List Reede;03.04.2013;15,25;0;0;28;0;5;0;3;1;0;3;0;0;577;0;0;0;0;0
List Reede;08.04.2013;15,25;0;0;68;0;1;0;5;3;0;3;0;0;752;0;0;0;0;0
List Reede;15.04.2013;15,25;0;1;186;0;183;0;2;4;0;0;0;0;913;0;0;0;0;0
List Reede;22.04.2013;15,25;0;1;179;0;73;0;9;2;0;0;0;0;1301;0;0;0;0;0
List Reede;29.04.2013;15,25;0;3;88;0;3;0;17;2;0;1;0;0;173;0;0;0;0;0
List Reede;06.05.2013;15,25;0;1;405;0;0;0;14;3;0;0;0;0;0;0;0;0;0;0
List Reede;13.05.2013;15,25;0;4;490;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0
List Reede;21.05.2013;15,25;0;3;34;0;10;0;4;0;0;1;0;0;1;1;0;0;1;0
List Reede;27.05.2013;15,25;2;2;82;0;78;0;0;2;0;0;0;0;0;0;0;0;0;0
List Reede;03.06.2013;15,25;0;3;5;0;2;0;35;0;0;0;0;0;0;0;0;0;0;0
List Reede;10.06.2013;15,25;0;129;0;0;60;0;78;0;0;4;0;0;0;2;0;0;0;0
List Reede;30.07.2013;15,25;1;1;0;0;17;0;3;43;0;0;12;0;16;0;0;2;4;0
List Reede;12.08.2013;15,25;0;0;0;0;43;0;1;6;0;0;45;0;2;0;0;27;309;0
List Reede;19.08.2013;15,25;0;9;0;0;12;0;0;0;0;0;0;0;1;0;0;2;13;0
List Reede;26.08.2013;15,25;2;50;0;0;28;0;0;1;0;0;15;0;0;0;0;15;7;0
List Reede;05.08.2013;15,25;1;17;0;0;26;0;0;12;0;0;78;0;27;0;0;15;3;2
List Reede;05.09.2013;15,25;29;736;0;0;72;0;0;0;0;0;16;0;22;0;0;14;39;0
List Reede;09.09.2013;15,25;2;723;0;0;70;0;0;0;9;0;0;0;232;0;0;26;544;0
List Reede;17.10.2013;15,25;32;0;0;0;1;0;0;78;0;0;2;0;0;0;0;0;0;0
List Reede;21.10.2013;15,25;9;0;0;0;0;0;0;287;0;0;6;0;0;0;0;0;149;0
List Reede;31.10.2013;15,25;4;0;0;0;4;0;0;178;2;0;82;0;0;0;0;2;92;0
List Reede;07.11.2013;15,25;3;0;0;0;34;0;1;270;0;0;14;0;0;0;0;0;74;0
List Reede;14.11.2013;15,25;5;0;0;0;11;0;1;137;0;0;0;0;0;0;0;0;9;0
List Reede;21.11.2013;15,25;19;2;0;0;10;0;0;192;0;0;0;0;0;0;0;0;1;0
List Reede;25.11.2013;15,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
