Study area (LWR);Functional Group;Compartment;Family;Studied taxon;Column;LWR;[W];[L];Source;meanL;Source;C/W-ratio;Source;Comments
Western English Channel+Celtic Sea;mesozooplankton;calanoid copepod;;Acartia sp.;Acartia_sp;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);0,9;Pitois et al. (2021);0,453;Silberberger et al. (2020);assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Western English Channel+Celtic Sea;mesozooplankton;calanoid copepod;;Temora sp.;T.longicornis;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);1,7;Pitois et al. (2021);0,433;Silberberger et al. (2020);assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Western English Channel+Celtic Sea;mesozooplankton;calanoid copepod;;Centropages sp.;C.hamatus;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);1,3;Pitois et al. (2021);;;"assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007); LWR & mean size applied for Pseudocalanus elongatus"
Western English Channel+Celtic Sea;mesozooplankton;calanoid copepod;;Para-Pseudocalanus sp.;P.elongatus;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);1,1;Pitois et al. (2021);0,497;Silberberger et al. (2020);"assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007); LWR & mean size applied for Paracalanus parvus"
Western English Channel+Celtic Sea;mesozooplankton;calanoid copepod;;Para-Pseudocalanus sp.;P.parvus;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);1,1;Pitois et al. (2021);;;assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Western English Channel+Celtic Sea;mesozooplankton;Oithona sp.;;Oithona sp.;Oithona_sp;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);0,8;Pitois et al. (2021);0,465;Silberberger et al. (2020);assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Western English Channel+Celtic Sea;mesozooplankton;harpacticoid copepod;;Harpacticoida;harpacticoids;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);0,7;Pitois et al. (2021);;;assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Bay of Marennes-Oléron;mesozooplankton;cladoceran;;Podon sp.;Podon_sp;0,72;C [ug];;Sautour & Castel (1995);;;;;
Bay of Marennes-Oléron;mesozooplankton;cladoceran;;Evadne sp.;Evadne_sp;0,32;C [ug];;Sautour & Castel (1995);;;;;
Laboratory culture;mesozooplankton;tunicate;;Oikopleura dioica;tunicates;1.06*10^(-7)*L^(2.60);C [ug];body length [um];Lombard et al. (2009);846,97;Lombard et al. (2009);;;use of mean of the average O. dioica sizes which where fed at different alcal concentrations: 709.54um-984.40um
